time	temp	oxy	light
1530452100	7.40617	9.765085	390.5694
1530452400	7.40617	9.741524	375.5475
1530452700	7.396607	9.768844	365.5329
1530453000	7.387042	9.76474	370.5402
1530453300	7.387042	9.756881	310.4526
1530453600	7.377474	9.768502	225.3285
1530453900	7.367906	9.772267	195.2847
1530454200	7.358335	9.776034	205.2993
1530454500	7.348762	9.771933	205.2993
1530454800	7.348762	9.764068	230.3358
1530455100	7.339188	9.783577	270.3942
1530455400	7.329611	9.779474	325.4745
1530455700	7.329611	9.787352	365.5329
1530456000	7.329611	9.779474	420.6132
1530456300	7.320033	9.775376	360.5256
1530456600	7.320033	9.775376	415.6059
1530456900	7.320033	9.783249	500.73
1530457200	7.310453	9.787027	655.9563
1530457500	7.320033	9.791129	731.0658
1530457800	7.329611	9.795236	781.1388
1530458100	7.329611	9.787352	640.9344
1530458400	7.329611	9.803127	936.3651
1530458700	7.339188	9.791458	861.2556
1530459000	7.348762	9.795567	741.0804
1530459300	7.348762	9.795567	766.1169
1530459600	7.358335	9.791792	981.4308
1530459900	7.367906	9.795905	1141.6644
1530460200	7.387042	9.796248	1542.2484
1530460500	7.40617	9.796596	1472.1462
1530460800	7.40617	9.804491	1472.1462
1530461100	7.434849	9.793184	3004.38
1530461400	7.45396	9.785659	6644.6871
1530461700	7.473062	9.786025	9959.5197
1530462000	7.501703	9.782644	6629.6652
1530462300	7.530327	9.771397	7631.1252
1530462600	7.558935	9.775918	3850.6137
1530462900	7.587527	9.756833	5087.4168
1530463200	7.616102	9.769244	4621.7379
1530463500	7.654177	9.762198	5848.5264
1530463800	7.701731	9.759327	11161.2717
1530464100	7.730241	9.748181	12608.3814
1530464400	7.777724	9.75323	26934.2667
1530464700	7.815677	9.73842	31115.3622
1530465000	7.86308	9.727812	18657.1998
1530465300	7.900971	9.720924	16348.8345
1530465600	7.938833	9.706223	40218.6336
1530465900	7.995575	9.707726	43097.8311
1530466200	8.052254	9.709279	18627.156
1530466500	8.108871	9.67956	7250.5704
1530466800	8.146582	9.680645	4997.2854
1530467100	8.174847	9.661944	3980.8035
1530467400	8.203097	9.674495	13770.075
1530467700	8.221922	9.682881	5272.6869
1530468000	8.297153	9.646146	2148.1317
1530468300	8.362893	9.644329	2303.358
1530468600	8.428551	9.634782	3935.7378
1530468900	8.484765	9.628877	2303.358
1530469200	8.54092	9.607465	4741.9131
1530469500	8.578325	9.601001	2168.1609
1530469800	8.625043	9.598775	1962.8616
1530470100	8.653055	9.595901	6624.6579
1530470400	8.709035	9.57468	4586.6868
1530470700	8.755641	9.580293	4426.4532
1530471000	8.811516	9.543716	2027.9565
1530471300	8.830128	9.528992	2718.9639
1530471600	8.867334	9.538147	9694.1328
1530471900	8.96952	9.515204	1702.482
1530472200	9.006632	9.50131	1647.4017
1530472500	9.071519	9.492448	1361.9856
1530472800	9.108563	9.46329	1251.825
1530473100	9.145583	9.464854	1221.7812
1530473400	9.293419	9.448309	1226.7885
1530473700	9.385623	9.429524	1316.9199
1530474000	9.459279	9.402391	1281.8688
1530474300	9.523651	9.378766	1226.7885
1530474600	9.578771	9.373795	1211.7666
1530474900	9.606311	9.363727	1462.1316
1530475200	9.652182	9.369768	1296.8907
1530475500	9.698018	9.345459	1231.7958
1530475800	9.734661	9.354879	1246.8177
1530476100	9.688854	9.333639	1251.825
1530476400	9.643011	9.335176	1251.825
1530476700	9.652182	9.331838	1286.8761
1530477000	9.716343	9.331216	1346.9637
1530477300	9.881008	9.309339	1387.0221
1530477600	9.853595	9.266464	1442.1024
1530477900	9.871872	9.237374	1517.2119
1530478200	9.908408	9.239249	1627.3725
1530478500	9.954047	9.230378	1862.7156
1530478800	10.017884	9.23749	1692.4674
1530479100	10.072548	9.21046	2188.1901
1530479400	10.136261	9.195227	4576.6722
1530479700	10.190819	9.205697	12928.8486
1530480000	10.24533	9.163966	17450.4405
1530480300	10.299792	9.159579	16153.5498
1530480600	10.345141	9.150996	3695.3874
1530480900	10.399517	9.139253	2413.5186
1530481200	10.426687	9.107463	2203.212
1530481500	10.462896	9.12438	5432.9205
1530481800	10.589465	9.102241	3374.9202
1530482100	10.616554	9.085384	2243.2704
1530482400	10.679718	9.092913	1912.7886
1530482700	10.661677	9.069659	3975.7962
1530483000	10.643632	9.061198	3009.3873
1530483300	10.652655	9.058059	1987.8981
1530483600	10.661677	9.040214	1892.7594
1530483900	10.670698	9.059151	2213.2266
1530484200	10.679718	9.048657	2268.3069
1530484500	10.679718	9.033957	7085.3295
1530484800	10.670698	9.051789	4040.8911
1530485100	10.688736	9.045526	1086.5841
1530485400	10.670698	9.037085	976.4235
1530485700	10.688736	9.052883	1667.4309
1530486000	10.670698	9.022407	1316.9199
1530486300	10.652655	9.050699	4171.0809
1530486600	10.625581	9.052751	1667.4309
1530486900	10.616554	9.063254	956.3943
1530487200	10.598496	9.047458	1622.3652
1530487500	10.589465	9.050598	2633.8398
1530487800	10.580432	9.061101	1241.8104
1530488100	10.589465	9.050598	971.4162
1530488400	10.589465	9.043247	1687.4601
1530488700	10.580432	9.03904	1161.6936
1530489000	10.580432	9.05374	766.1169
1530489300	10.580432	9.024366	781.1388
1530489600	10.580432	9.009718	2243.2704
1530489900	10.580432	9.031699	801.168
1530490200	10.571399	9.042179	1266.8469
1530490500	10.562364	9.030636	8171.9136
1530490800	10.553328	9.02644	1276.8615
1530491100	10.535252	9.032718	756.1023
1530491400	10.508128	9.034809	645.9417
1530491700	10.490039	9.048447	625.9125
1530492000	10.480993	9.04425	696.0147
1530492300	10.462896	9.050555	590.8614
1530492600	10.444794	9.049516	575.8395
1530492900	10.408575	9.047453	560.8176
1530493200	10.381397	9.056939	555.8103
1530493500	10.354207	9.059086	545.7957
1530493800	10.317936	9.079142	560.8176
1530494100	10.281643	9.091874	340.4964
1530494400	10.24533	9.097252	260.3796
1530494700	10.208995	9.095267	335.4891
1530495000	10.18173	9.09748	450.657
1530495300	10.145357	9.095526	455.6643
1530495600	10.099862	9.118958	385.5621
1530495900	10.072548	9.128613	380.5548
1530496200	10.036111	9.134105	485.7081
1530496500	10.008769	9.166071	400.584
1530496800	9.981414	9.138673	480.7008
1530497100	9.954047	9.155807	345.5037
1530497400	9.917539	9.146526	275.4015
1530497700	9.890143	9.163693	270.3942
1530498000	9.862734	9.173461	220.3212
1530498300	9.82617	9.171636	155.2263
1530498600	9.798732	9.188877	145.2117
1530498900	9.771282	9.183805	120.1752
1530499200	9.734661	9.196913	95.1387
1530499500	9.707181	9.19931	100.146
1530499800	9.670521	9.212467	85.1241
1530500100	9.643011	9.207428	85.1241
1530500400	9.615488	9.224791	70.1022
1530500700	9.587952	9.219766	60.0876
1530501000	9.551217	9.218063	55.0803
1530501300	9.523651	9.227998	50.073
1530501600	9.496072	9.230477	40.0584
1530501900	9.477678	9.237119	25.0365
1530502200	9.459279	9.23629	25.0365
1530502500	9.440874	9.227994	20.0292
1530502800	9.422463	9.257097	25.0365
1530503100	9.404046	9.256279	20.0292
1530503400	9.385623	9.277967	10.0146
1530503700	9.367194	9.269649	15.0219
1530504000	9.348759	9.276347	5.0073
1530504300	9.33954	9.257198	5.0073
1530504600	9.321096	9.263893	5.0073
1530504900	9.302646	9.278102	5.0073
1530505200	9.284191	9.262311	0
1530505500	9.274961	9.295701	5.0073
1530505800	9.265729	9.261528	0
1530506100	9.247262	9.298283	0
1530506400	9.238026	9.286616	0
1530506700	9.219549	9.300876	0
1530507000	9.201067	9.285069	0
1530507300	9.191823	9.303479	0
1530507600	9.173331	9.302712	0
1530507900	9.164083	9.306093	0
1530508200	9.145583	9.320398	0
1530508500	9.13633	9.308719	0
1530508800	9.127076	9.31964	0
1530509100	9.108563	9.318888	0
1530509400	9.099304	9.314746	0
1530509700	9.090044	9.333223	0
1530510000	9.080782	9.321536	0
1530510300	9.052987	9.331737	0
1530510600	9.043719	9.342694	0
1530510900	9.025179	9.326865	0
1530511200	9.015906	9.330272	0
1530511500	9.006632	9.348785	0
1530511800	8.988079	9.35562	0
1530512100	8.9788	9.328827	0
1530512400	8.96952	9.347338	0
1530512700	8.960238	9.350758	0
1530513000	8.94167	9.357604	0
1530513300	8.923095	9.356894	0
1530513600	8.913806	9.337656	0
1530513900	8.895222	9.344505	0
1530514200	8.885927	9.363052	0
1530514500	8.867334	9.369925	0
1530514800	8.858035	9.373364	0
