seq,time,date.time,temp,light,oxy,oxy.mod,sat,,
74,1530450300,13:05:00,7.482611,180.2628,9.711609,9.702706,92.200099,,
75,1530450600,13:10:00,7.473062,200.292,9.730999,9.706074,92.362331,,
76,1530450900,13:15:00,7.463512,200.292,9.726902,9.709299,92.3016,,
77,1530451200,13:20:00,7.45396,205.2993,9.738479,9.712402,92.389584,,
78,1530451500,13:25:00,7.434849,240.3504,9.753821,9.715665,92.491307,,
79,1530451800,13:30:00,7.425291,345.5037,9.757573,9.718833,92.50496,,
80,1530452100,13:35:00,7.40617,390.5694,9.765085,9.722158,92.532283,,
81,1530452400,13:40:00,7.40617,375.5475,9.741524,9.725082,92.309023,,
82,1530452700,13:45:00,7.396607,365.5329,9.768844,9.727916,92.545945,,
83,1530453000,13:50:00,7.387042,370.5402,9.76474,9.730675,92.485113,,
84,1530453300,13:55:00,7.387042,310.4526,9.756881,9.733087,92.410678,,
85,1530453600,14:00:00,7.377474,225.3285,9.768502,9.735446,92.498778,,
86,1530453900,14:05:00,7.367906,195.2847,9.772267,9.737777,92.512455,,
87,1530454200,14:10:00,7.358335,205.2993,9.776034,9.740094,92.52613,,
88,1530454500,14:15:00,7.348762,205.2993,9.771933,9.742398,92.465334,,
89,1530454800,14:20:00,7.348762,230.3358,9.764068,9.744435,92.390913,,
90,1530455100,14:25:00,7.339188,270.3942,9.783577,9.746504,92.553506,,
91,1530455400,14:30:00,7.329611,325.4745,9.779474,9.748606,92.492687,,
92,1530455700,14:35:00,7.329611,365.5329,9.787352,9.75047,92.567195,,
93,1530456000,14:40:00,7.329611,420.6132,9.779474,9.75213,92.492687,,
94,1530456300,14:45:00,7.320033,360.5256,9.775376,9.753836,92.431932,,
95,1530456600,14:50:00,7.320033,415.6059,9.775376,9.755357,92.431932,,
96,1530456900,14:55:00,7.320033,500.73,9.783249,9.756723,92.506376,,
97,1530457200,15:00:00,7.310453,655.9563,9.787027,9.758237,92.520074,,
98,1530457500,15:05:00,7.320033,731.0658,9.791129,9.759333,92.580886,,
99,1530457800,15:10:00,7.329611,781.1388,9.795236,9.760052,92.641761,,
100,1530458100,15:15:00,7.329611,640.9344,9.787352,9.760643,92.567195,,
