basin,stream,season,yr,season.yr,basin.stream,basin.season.yr,basin.stream.season.yr,n,w,elev,aspect,from.north,percent.south,slope,bf,pebble,width,depth,velocity.mean,discharge,carbon,ammonia,nitrate,din,din.out,cn.ratio,phosphate,canopy,canopy.cat,par.integrative,par.mean,par.max,temp.max,temp.min,temp.min.cat,temp.mean,k600.lit,r2.lit,gpp.lit,er.lit,neglogl.lit,pr.lit,k600.my,r2.my,gpp.my,er.my,neglogl.my,pr.my,r2.lit.5,gpp.lit.5,er.lit.5,neglogl.lit.5,pr.lit.5,r2.my.5,gpp.my.5,er.my.5,neglogl.my.5,pr.my.5,k600.model,r2.model,gpp.model,er.model,neglogl.model,pr.model,sculp.mass.m,cut.capt,cut.pop,cut.pop.se,cut.pop.dens,cut.pop.dens.se,cut.ln,cut.ln.se,cut.mass,cut.mass.se,cut.mass.m,cut.mass.m.er,cut.mass.m2,cut.mass.m2.er
swauk,blue,sum,A17,1sum17,swauk.blue,swauk.sum.17,swauk.blue.sum.17,47.296801,120.705743,869,120,120,67,3,5.2,35.5,0.9,0.048,0.208,9,4.99,-0.0144229,0.0058888,0.0098538,0.0098538,506.4,0.0149465,32.6,c.open,1.1243815,3904.1,21381.2,12.32,10.58,te.hi,11.53,80.76805068,0.9657,0.1784885,-5.173518,-282.2687,0.034500412,26.17864,0.981,0.04072899,-1.646438,-295.042,0.02473764,NA,0.084860938,-5.169418,NA,0.016415956,NA,NA,NA,NA,NA,26.17864,0.981,0.04072892,-1.646438,-295.042,0.024737597,0,0.518518519,15,0.48047924,0.6,0.01921917,75.35714286,5.155395278,5.014285714,1.427818483,3.008571429,0.09637041,3.342857143,0.107078233
taneum,first,sum,A17,1sum17,taneum.first,taneum.sum.17,taneum.first.sum.17,47.114618,120.946155,880,155,155,86,5,5.07,42,0.37,0.06,0.06,0.3,3.31,-0.0160324,0.011325,0.0136805,0.0136805,242,0.0433362,22.1,c.closed,1.3582056,4716,48044.7,12.56,10.76,te.hi,11.74,118.9953569,0.9271,0.1282847,-7.725837,-480.4557,0.016604635,24.42406,0.9606,0.01289956,-1.569626,-545.5826,0.008218238,NA,0.059051164,-7.721737,NA,0.007647394,NA,NA,NA,NA,NA,25.54551,0.963,0.01473976,-1.644481,-539.3417,0.008963168,0.12,1,1,0,0.02,0,90,0,7,0,0.14,0,0.378378378,0
taneum,frost,sum,A17,1sum17,taneum.frost,taneum.sum.17,taneum.frost.sum.17,47.102939,120.950163,904,328,32,18,10,12.74,60,0.38,0.073,0.253,7,6.62,-0.0155774,0.0038642,0.0066747,0.0066747,991.8,0.0336418,4.9,c.closed,0.9868906,3426.7,25937.3,14.03,10.2,te.hi,11.64,212.3781593,0.9514,0.2787481,-19.17543,-390.853,0.014536733,30.3387,0.9876,0.006935734,-2.702468,-542.8762,0.002566444,NA,0.136404398,-19.17133,NA,0.00711502,NA,NA,NA,NA,NA,30.3387,0.9876,0.0069357,-2.702469,-542.8762,0.002566431,0.27,0.916666667,13.09090909,0.328921467,0.523636364,0.013156859,71.83333333,1.278216877,3.576923077,0.209135536,1.873006993,0.047061073,4.928965771,0.123844929
swauk,hovey,sum,A17,1sum17,swauk.hovey,swauk.sum.17,swauk.hovey.sum.17,47.318852,120.695241,905,108,108,60,6,3.44,62,0.9,0.07,0.068,4.4,4.09,-0.015206,0.0034228,0.0066047,0.0066047,619.3,0.0167959,26.8,c.open,1.6185798,5620.1,25350,11.85,10.5,te.hi,11.22,137.8831073,0.9672,0.5611451,-15.05732,-262.2104,0.037267263,28.73411888,0.9713,0.07337398,-3.085051,-252.6266,0.023783717,NA,0.281584696,-15.05322,NA,0.018705944,NA,NA,NA,NA,NA,164.5815,0.9663,0.67974,-17.98536,-262.2689,0.037794073,0,0.769230769,16.9,1.233288287,0.676,0.049331531,83.25,3.683861199,6.16875,0.857064698,4.170075,0.304313882,4.633416667,0.338126536
swauk,hurley,sum,A17,1sum17,swauk.hurley,swauk.sum.17,swauk.hurley.sum.17,47.321212,120.674011,932,302,58,32,3,3.32,66,0.6,0.046,0.01,0.3,4.07,-0.0160625,0.013385,0.0157104,0.0157104,259.1,0.016076,40.1,c.open,3.5253744,12240.9,102800,12.29,8.72,te.lo,10.53,80.76805068,0.9281,0.08614942,-4.91082,-245.6588,0.017542777,20.06755,0.9813,0.007516569,-1.209536,-302.0034,0.006214424,NA,0.037389417,-4.90672,NA,0.007620043,NA,NA,NA,NA,NA,20.06755,0.9813,0.007516499,-1.209536,-302.0034,0.006214366,0,0.571428571,24.5,3.712310601,0.98,0.148492424,79.75,1.693447123,5.13,0.418713569,5.0274,0.761766135,8.379,1.269610225
swauk,iron,sum,A17,1sum17,swauk.iron,swauk.sum.17,swauk.iron.sum.17,47.336689,120.693441,950,139,139,77,2,5.16,43.5,2,0.102,0.034,9.8,3.92,-0.0171266,0.0031448,0.0044061,0.0044061,889.7,0.0083334,6.8,c.closed,0.4594512,1595.3,12166.7,10.52,8.04,te.lo,9.15,61.35297862,0.9345,0.1460496,-7.225803,-421.5372,0.020212231,17.17205,0.9649,0.002531526,-1.989936,-489.2787,0.001272165,NA,0.068184099,-7.221703,NA,0.009441554,NA,NA,NA,NA,NA,17.17205,0.9649,0.002531521,-1.989936,-489.2787,0.001272162,0,0.882352941,19.26666667,0.585250817,0.770666667,0.023410033,84.9047619,5.420378111,6.078947368,1.255085071,4.684842105,0.142308358,2.342421053,0.071154179
teanaway,jack,sum,A17,1sum17,teanaway.jack,teanaway.sum.17,teanaway.jack.sum.17,47.3475,120.782771,954,225,135,75,3,3.62,68.5,1.9,0.094,0.026,5.2,4.82,-0.016948,0.0030031,0.004443,0.004443,1084.9,0.0104461,50.8,c.open,0.6796484,2359.9,10136.4,12.61,8.72,te.hi,10.41,80.76805068,0.9067,0.545363,-9.113048,-313.0293,0.059844193,26.87167621,0.9116,0.1085357,-2.965698,-327.2164,0.036597017,NA,0.273471118,-9.108948,NA,0.03002225,NA,NA,NA,NA,NA,5.371754,0.9405,-0.0777225,-0.5073827,-381.0473,-0.153183189,2.6,1,3,0,0.12,0,140,15.0443788,31.23333333,8.929787854,3.748,0,1.972631579,0
teanaway,miller,sum,A17,1sum17,teanaway.miller,teanaway.sum.17,teanaway.miller.sum.17,47.368323,120.78448,981,170,170,94,5,6.08,55,1.7,0.1,0.214,49.5,1.84,-0.0144906,0.0098045,0.0137018,0.0137018,134.3,0.0057554,15.9,c.closed,0.507454,1762,10470.8,12.76,9.84,te.hi,11.05,118.9953569,0.9937,0.1045907,-11.09584,-650.7991,0.009426118,35.59145908,NA,NA,NA,NA,NA,NA,0.046870079,-11.09174,NA,0.004225674,NA,NA,NA,NA,NA,36.38188,0.9956,-0.0428261,-3.336198,-738.9574,-0.012836798,2.48,0.666666667,9,1.5,0.36,0.06,107.375,12.00288284,15.5125,4.571473563,5.5845,0.93075,3.285,0.5475
teanaway,standup,sum,A17,1sum17,teanaway.standup,teanaway.sum.17,teanaway.standup.sum.17,47.356182,120.836047,871,152,152,84,8,4.42,92,2.2,0.13,0.152,44.7,1.69,-0.0155181,0.0049569,0.0078267,0.0078267,215.9,0.0062148,46.9,c.open,2.0117093,6985.1,40000,14.72,10.86,te.hi,12.49,175.3155467,0.9786,0.7068888,-24.29058,-464.5477,0.029101355,39.06715,0.9912,0.07404603,-5.333997,-560.469,0.013881903,NA,0.356511532,-24.28648,NA,0.014679424,NA,NA,NA,NA,NA,39.06715,0.9912,0.07404535,-5.333999,-560.469,0.013881771,5.98,0.5,4,2,0.114285714,0.057142857,115.3333333,24.39489928,17.33333333,9.034993697,1.980952381,0.990476188,0.9004329,0.450216449
swauk,swauk,sum,A17,1sum17,swauk.swauk,swauk.sum.17,swauk.swauk.sum.17,47.331107,120.614636,1071,289,71,39,4,4.82,39,2,0.12,0.082,23.8,3.39,-0.0122278,0.2497129,0.255873,NA,13.2,0.0399653,29.2,c.open,2.0638441,7166.1,102695.6,12.28,8.88,te.hi,10.73,99.96696333,0.9869,0.1195409,-13.14667,-417.5352,0.009092865,29.36602164,NA,NA,NA,NA,NA,NA,0.054555977,-13.14257,NA,0.004151089,NA,NA,NA,NA,NA,33.15378,0.9974,-0.003817273,-4.295904,-491.3336,-0.000888584,0,0.846153846,30.72727273,1.007857932,1.229090909,0.040314317,87.27272727,5.137553496,7.01,1.183879751,8.615927273,0.282603362,4.307963637,0.141301681
